location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Tondiarpet,2,2,790,640,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,4421651
Anna Nagar,3,3,1480,1175,Individual,Resale,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,North,8220926
Kolathur,3,3,1167,1708,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,6798035
Moolakadai,1,1,545,1520,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,South East,3033039
Pallikaranai,2,2,690,708,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,North,3207974
Arumbakkam,2,2,855,775,Individual,Resale,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,East,4421651
Anna Nagar,1,1,600,940,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,North,2406982
Perambur,2,2,615,663,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,3033039
New Perungalathur,2,1,1200,713,Individual,Resale,0 to 5 years,Builder Floors,0,Semi-Furnished,Ready to Move,East,5340967
Purasawalkam,2,2,950,1536,Individual,Resale,5 to 10 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,5340967
Mylapore,2,2,600,696,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3033039
Kavankarai,3,2,1200,1082,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,6798035
Kolathur,2,2,950,813,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5340967
Ayanambakkam,2,2,813,800,Individual,Resale,New Construction,Builder Floors,2,Unfurnished,Ready to Move,North,5783338
Madipakkam,2,2,770,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,4421651
Kolathur,1,1,480,389,Individual,Resale,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,2406982
West Mambalam,2,2,935,2834,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Upcoming,East,6250954
Ambattur,2,2,950,834,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,East,5340967
Madipakkam,2,2,850,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,4421651
Chrompet,2,2,1050,805,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5340967
Madipakkam,2,2,812,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,4421651
Urapakkam,1,1,450,424,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,1546064
Patravakam,2,2,700,1632,Individual,Resale,5 to 10 years,Builder Floors,2,Furnished,Ready to Move,South,3207974
Sembakkam,3,3,1155,1013,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,6798035
Tambaram,2,2,894,825,Individual,Resale,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Ambattur,2,2,820,667,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,4421651
Guduvancheri,3,3,1150,978,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,East,6798035
Velachery,2,2,1130,925,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,North,5340967
Alwarthirunagar,3,2,1265,2003,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,East,8220926
Guduvancheri,2,2,806,785,Individual,New,Under Construction,Builder Floors,2,Semi-Furnished,Under Construction,West,4421651
Maraimalai Nagar,2,2,1400,838,Individual,New,0 to 5 years,Builder Floors,0,Unfurnished,Under Construction,West,8220926
Medavakkam,2,2,804,712,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,West,4421651
Madipakkam,1,1,531,528,Individual,Resale,5 to 10 years,Builder Floors,1,Furnished,Ready to Move,North East,3033039
Villivakkam,1,1,800,550,Individual,Resale,Type,Builder Floors,1,Furnished,Ready to Move,North,4421651
Chitlapakkam,2,2,850,653,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,4421651
Valasaravakkam,2,2,950,2594,Individual,Resale,10 to 15 years,Builder Floors,2,Unfurnished,Ready to Move,North,5340967
