location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Perungalathur,3,3,2000,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,8722378
Porur,4,4,1543,600,Individual,Resale,5 to 10 years,House & Villas,2,Unfurnished,Ready to Move,West,12136114
Mmda Colony,4,2,4750,1100,Individual,New,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,28755605
Mangadu,1,1,580,1150,Builder,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,1974663
Santhosapuram,3,2,1500,1082,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,North,18004354
Avadi,2,2,960,1155,Individual,Resale,Type,House & Villas,1,Furnished,Ready to Move,South,5340967
Thiruninravur,2,3,3400,1400,Individual,Resale,Above 20 years,House & Villas,0,Semi-Furnished,Ready to Move,West,28755605
Red Hills,3,3,1300,1419,Builder,New,0 to 5 years,House & Villas,2,Furnished,Ready to Move,South,8220926
Mangadu,3,3,1100,594,Individual,New,New Construction,House & Villas,1,Furnished,Ready to Move,East,6798035
Porur,2,2,800,843,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,3492296
Kolathur,2,3,1500,1300,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,North,11605979
Pallavaram,3,3,1900,663,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,9168871
Sithalapakkam,2,2,603,1012,Builder,New,Under Construction,House & Villas,1,Furnished,Under Construction,East,1974663
Kovilambakkam,5,5,4700,2592,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,South,28755605
Kelambakkam,3,3,2400,748,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,24272824
Potheri,3,3,1000,996,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,6798035
Guduvancheri,3,4,1750,633,Builder,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South,12136114
Mylapore,2,2,1120,2500,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,East,5340967
Red Hills,4,3,1300,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,9184526
Ra Puram,4,4,3500,1485,Individual,New,0 to 5 years,House & Villas,-1,Unfurnished,Ready to Move,West,28755605
Tambaram Mudichur Road,3,3,1000,650,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,6798035
Tambaram,3,3,1000,540,Individual,Resale,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,East,6798035
Kilpauk,3,3,1400,1188,Individual,Resale,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,East,8220926
East Coast Road,2,2,695,220,Individual,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,3207974
Adyar,4,5,9200,570,Individual,New,New Construction,House & Villas,1,Furnished,Ready to Move,East,49000280
Medavakkam,3,3,1775,971,Individual,New,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,11605979
Madhavaram,8,8,3600,616,Builder,New,New Construction,House & Villas,0,Furnished,Ready to Move,South,26074461
West Mambalam,3,2,1100,2200,Individual,Resale,15 to 20 years,House & Villas,0,Semi-Furnished,Ready to Move,South,6798035
Avadi,3,2,1200,4684,Others,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,East,6798035
Pallikaranai,2,2,980,800,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,South,5340967
Ennore Port,2,2,1300,775,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,8220926
Choolai,1,1,2730,570,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,West,4000000
Manali,2,2,1000,964,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5340967
Saligramam,2,2,2500,1248,Builder,New,New Construction,House & Villas,1,Furnished,Ready to Move,East,4764000
Singaperumal Koil,2,2,800,756,Builder,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,South,3492296
Egmore,4,2,6500,1303,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,28755605
Kolathur,4,4,2000,601,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,North East,12136114
Ayanavaram,4,3,2400,1143,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,6470737
Kolathur,2,1,1100,5400,Individual,New,New Construction,House & Villas,2,Furnished,Ready to Move,North,5340967
Palavakkam,5,5,3000,950,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South West,28755605
Periyapalayam,2,2,650,777,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,East,3207974
Palavanthagal,2,2,3780,1400,Builder,New,New Construction,House & Villas,1,Furnished,Ready to Move,South,28755605
Kolathur,2,2,1000,578,Individual,New,Under Construction,House & Villas,0,Semi-Furnished,Under Construction,East,5340967
Chrompet,2,3,1200,2580,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,North,5340967
Madanandapuram,2,2,1100,865,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,5340967
Tambaram,3,3,850,12000,Individual,New,New Construction,House & Villas,0,Furnished,Ready to Move,North,3492296
Triplicane,2,1,570,1200,Individual,New,New Construction,House & Villas,3,Semi-Furnished,Ready to Move,North,1974663
Ayanambakkam,3,3,1400,3800,Builder,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,West,8220926
Gst Road,3,3,2795,900,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,28755605
Valasaravakkam,6,5,2000,316,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,12136114
Thiruvanmiyur,4,4,4588,1550,Individual,Resale,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,28755605
Oragadam,2,2,1145,965,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Under Construction,East,5340967
Royapettah,8,8,6000,1200,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,47160000
Thiruvotriyur,3,3,750,1100,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,North,9750125
Nolambur,2,2,1021,1061,Individual,New,New Construction,House & Villas,3,Unfurnished,Ready to Move,East,5340967
Vandalur,3,3,1500,1353,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,West,24164603
Navalur,3,3,2400,221,Individual,Resale,5 to 10 years,House & Villas,1,Furnished,Ready to Move,West,7200
Perungudi,6,6,2400,850,Builder,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,17500000
Ayanambakkam,2,2,640,1040,Agent,Resale,15 to 20 years,House & Villas,1,Unfurnished,Ready to Move,North,3207974
Minjur,2,2,936,3794,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,5340967
Vysarpadi,4,3,1760,476,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,South East,12136114
Jeeva Nagar,2,2,900,800,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,5340967
Poonamale High Road,4,1,2007,1566,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,North,8722378
Kodambakkam,1,1,801,570,Agent,Resale,0 to 5 years,House & Villas,3,Furnished,Under Construction,South,4464305
Madhavaram,1,1,800,3360,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,West,4464305
Omr,2,2,987,1097,Agent,New,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,North,5340967
Thiruvalluvar Nagar,2,2,2210,600,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,12136114
Avadi,2,2,900,1400,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,South,5340967
Adambakkam,2,2,1800,775,Builder,New,Under Construction,House & Villas,0,Semi-Furnished,Under Construction,West,13016328
Adyar,3,3,3000,600,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North East,180000000
Madipakkam,3,3,1250,800,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,8220926
Kumaran Nagar,3,3,1750,1437,Individual,New,New Construction,House & Villas,2,Furnished,Ready to Move,East,8722378
Red Hills,2,2,671,1050,Builder,New,Under Construction,House & Villas,3,Semi-Furnished,Ready to Move,East,3207974
Omr,2,1,1750,1013,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,East,55263002
Perambur,3,4,1317,3150,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Under Construction,East,8220926
Royapettah,2,1,475,1000,Individual,Resale,15 to 20 years,House & Villas,1,Furnished,Ready to Move,South,1974663
Rajakilpakkam,5,4,2200,700,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,East,9168871
Ayyapanthangal,3,3,1400,1600,Builder,New,Under Construction,House & Villas,2,Semi-Furnished,Under Construction,East,8220926
Korattur,10,10,1850,1100,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,North,11605979
Velachery,2,1,640,949,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,East,3207974
Anbattur,4,3,1800,589,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,West,13016328
Puzithivakkam,2,2,700,750,Builder,New,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,North,3207974
Thiruvallalar,1,1,600,1353,Individual,Resale,0 to 5 years,House & Villas,2,Semi-Furnished,Ready to Move,East,1974663
T Nagar,2,2,1700,681,Others,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,9168871
Puzhal,3,2,1500,540,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,North,12136114
Mogappair West,1,1,500,1253,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,East,1974663
Vadapalani,4,4,750,800,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,West,9750125
Urapakkam,3,3,1800,1100,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,18004354
Omr,4,4,2939,1056,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,28755605
Navalur,4,4,2000,1007,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North East,55263002
Avadi,2,3,976,900,Builder,New,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,South,5340967
Guduvancheri,2,2,900,1120,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,North East,5340967
Ambattur,2,2,873,519,Individual,Resale,Above 20 years,House & Villas,0,Unfurnished,Ready to Move,South,4464305
Pallikaranai,3,2,1400,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,8220926
Omr,4,4,1800,1500,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,East,55263002
Ayappakkam,2,3,646,1253,Individual,Resale,New Construction,House & Villas,2,Semi-Furnished,Ready to Move,West,3207974
Alandur,4,3,1635,925,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,South,20030613
Vadapalani,4,4,1920,849,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,9168871
Kolathur,3,3,1800,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,South,12569458
Vandalur,2,2,1000,1450,Individual,Resale,15 to 20 years,House & Villas,2,Semi-Furnished,Ready to Move,North,5340967
Thiruvallore,2,2,950,550,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,East,5340967
Madhavaram,2,2,350,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,1368843
Kazhipattur,4,4,1800,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,8722378
Omr,3,3,1500,1393,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,East,55263002
Kolathur,3,4,1150,1040,Builder,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,North East,7077166
Chengalpattu,3,2,3400,1050,Individual,Resale,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,South,28755605
Ayanambakkam,3,3,640,650,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,9750125
Ayanavaram,6,4,2000,1120,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,North East,11605979
Avadi,2,2,1006,1075,Individual,Resale,Under Construction,House & Villas,1,Unfurnished,Under Construction,East,5340967
East Coast Road,4,5,2400,1120,Builder,New,New Construction,House & Villas,6,Unfurnished,Ready to Move,North,17500000
Vepampattu,3,3,650,775,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,4965353
Omr,5,2,4500,1400,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,28755605
Valasaravakkam,5,5,2400,1042,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,North,480000
Pallikaranai,1,1,400,650,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,South,1368843
Maduravayol,1,1,400,1120,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,1368843
Avadi,2,2,1600,1318,Individual,New,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,20030613
Thiruvotriyur,3,3,1050,1640,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,6798035
Villivakkam,2,3,750,3000,Individual,New,0 to 5 years,House & Villas,0,Furnished,Ready to Move,North,3207974
Alwarpet,4,4,655,1288,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,9750125
Ambattur,3,3,1600,640,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,South,13016328
Avadi,2,2,1752,1746,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,East,20030613
Urapakkam,4,4,1000,927,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,East,7077166
Ra Puram,3,3,1000,860,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,6798035
East Coast Road,2,2,1100,1500,Builder,New,Under Construction,House & Villas,5,Unfurnished,Under Construction,East,5340967
Alwarpet,3,6,672,700,Individual,Resale,Above 20 years,House & Villas,0,Semi-Furnished,Ready to Move,West,9750125
Nolambur,2,2,1500,1253,Individual,Resale,5 to 10 years,House & Villas,2,Unfurnished,Ready to Move,North,8722378
Singaperumal Koil,2,2,900,6168,Individual,Resale,5 to 10 years,House & Villas,10,Semi-Furnished,Ready to Move,South,5340967
Ambattur,2,1,675,2450,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,3207974
Urapakkam,3,3,1750,974,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,18004354
Kotturpuram,5,5,2000,1447,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,West,30497100
Omr,4,4,1500,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,9168871
Medavakkam,2,3,780,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,3492296
Kovalam,2,2,1200,594,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,5340967
Thiruninravur,2,2,700,1737,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South,3207974
Pallikaranai,3,3,2250,800,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,9168871
Ekkaduthangal,5,4,3050,975,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,28755605
Tambaram,4,4,1700,300,Individual,Resale,15 to 20 years,House & Villas,1,Semi-Furnished,Ready to Move,South,12136114
Omr,4,4,1800,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,9168871
Poonamale Highway,4,4,2000,640,Individual,Resale,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,East,12136114
Avadi,5,3,3000,3200,Individual,Resale,10 to 15 years,House & Villas,2,Semi-Furnished,Ready to Move,East,28755605
Aminjikarai,2,2,2779,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,61497333
Valasaravakkam,3,2,2500,600,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,East,27000000
Gst Road,3,3,1200,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,6798035
Valasaravakkam,4,4,2200,1082,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,North,18004354
Kovilambakkam,2,2,1000,640,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,5340967
Gst Road,2,2,1079,597,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,5340967
Perungalathur,2,2,750,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,3207974
Madipakkam,2,2,2960,920,Individual,Resale,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,North,28755605
Avadi,2,2,1000,768,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,5340967
Choolaimedu,2,1,1297,597,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,8220926
Kilpauk,8,6,6000,812,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South West,20000000
Thiruvanmiyur,4,3,3000,2803,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,South,28755605
Madipakkam,3,3,1800,746,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,9168871
Tambaram,4,3,2100,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,9168871
Kodamkkam,4,3,2500,694,Individual,Resale,5 to 10 years,House & Villas,2,Semi-Furnished,Ready to Move,North,37638712
Sithalapakkam,3,4,1350,1042,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,8220926
Sithalapakkam,2,2,860,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,4464305
Omr,6,6,1975,8000,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,55263002
Vysarpadi,3,3,880,1349,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,4464305
Saligramam,7,6,4200,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,26074461
M R C Nagar,12,15,3600,1200,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Under Construction,West,120000000
East Coast Road,3,3,1500,2070,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,11605979
Kolathur,2,2,1060,746,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,East,5340967
Gkm Colony,3,2,1435,1050,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,8220926
Chengalpattu,2,2,1050,746,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,5340967
Avadi,2,2,5000,800,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,North,61497333
K Nagar,5,4,1700,1840,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,North,11605979
Velachery,7,7,3300,200,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,26074461
Ennore Port,2,2,900,970,Individual,Resale,0 to 5 years,House & Villas,2,Furnished,Ready to Move,East,5340967
Anna Nagar,3,3,2100,812,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,East,13016328
Iyyappanthangal,2,2,760,6168,Individual,Resale,0 to 5 years,House & Villas,10,Semi-Furnished,Ready to Move,North,20000000
K Nagar,6,5,1700,640,Individual,New,Above 20 years,House & Villas,1,Unfurnished,Ready to Move,East,12136114
Ayanavaram,6,6,2400,910,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,East,6470737
Padi,2,2,850,633,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,4464305
Velachery,5,6,2200,999,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,18004354
Thiruvanmiyur,15,15,22000,2318,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,East,1200000000
Mylapore,6,6,1672,900,Individual,Resale,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,South,9168871
K Nagar,2,3,1800,1398,Individual,Resale,5 to 10 years,House & Villas,1,Furnished,Ready to Move,West,30497100
Guduvancheri,2,2,700,1054,Individual,Resale,0 to 5 years,House & Villas,4,Unfurnished,Ready to Move,East,3207974
Mahalingapuram,2,3,1300,775,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,8220926
Chengalpattu,3,3,1000,1000,Individual,Resale,10 to 15 years,House & Villas,0,Furnished,Ready to Move,East,6798035
Urapakkam,2,2,600,1760,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,1974663
Palavakkam,3,3,1600,600,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,12136114
Chrompet,1,1,500,1920,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South East,2406982
Sithalapakkam,2,2,1640,900,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,9168871
Muggappair,3,3,1350,3528,Individual,Resale,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,8220926
Pallikaranai,7,7,3100,512,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,26074461
Solavaram,3,2,720,714,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,9750125
T Nagar,6,4,3000,1374,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,East,28755605
Valasaravakkam,3,3,1050,746,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,6798035
T Nagar,6,5,3600,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,74180500
Chrompet,1,1,522,640,Individual,Resale,Under Construction,House & Villas,1,Furnished,Under Construction,North,2406982
Tambaram Mudichur Road,2,2,250,1043,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,1368843
Pallikaranai,2,2,1000,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5340967
Ayyapanthangal,2,2,792,1400,Individual,New,Under Construction,House & Villas,0,Unfurnished,Ready to Move,North,3492296
Choolaimedu,2,2,2400,946,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,17500000
Guduvancheri,2,2,750,550,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,3207974
Palavakkam,4,3,3650,746,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,28221518
Kolathur,4,4,1800,1042,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,11605979
Singaperumal Koil,2,2,1100,2388,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,East,5340967
Avadi,2,2,2400,1200,Others,Resale,Above 20 years,House & Villas,1,Unfurnished,Ready to Move,South East,37638712
Puzhal,3,2,2800,865,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,28221518
Arakonam,2,2,1800,775,Individual,Resale,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,13016328
Pammal,2,2,740,943,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,3207974
Pallikaranai,3,3,1600,808,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,9168871
Kelambakkam,5,6,4400,943,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,26074461
Guduvancheri,3,3,1200,3000,Individual,Resale,5 to 10 years,House & Villas,0,Furnished,Ready to Move,South,6798035
Ra Puram,3,3,900,608,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,6798035
Siruseri,3,3,1750,680,Individual,Resale,0 to 5 years,House & Villas,2,Furnished,Ready to Move,West,9168871
Sithalapakkam,4,4,2070,8000,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,18004354
Kolathur,2,2,1000,1308,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5340967
Poonamale High Road,3,2,980,1042,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,North,6798035
T Nagar,4,3,2150,760,Agent,Resale,10 to 15 years,House & Villas,4,Semi-Furnished,Ready to Move,South,9168871
Saligramam,5,5,2300,8000,Individual,New,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,South,12569458
Guindy,4,2,800,1822,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,4464305
Avadi,2,2,800,1360,Individual,Resale,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,3492296
Porur,2,2,1100,766,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,5340967
East Coast Road,3,2,960,1125,Individual,New,New Construction,House & Villas,3,Furnished,Ready to Move,North,6798035
East Tambaram,2,2,2600,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,47485790
Valasaravakkam,5,6,3600,871,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,East,26074461
Porur,9,6,4000,2880,Agent,Resale,Above 20 years,House & Villas,2,Semi-Furnished,Ready to Move,South,26074461
Madanandapuram,2,2,1050,783,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,5340967
Guduvancheri,2,2,750,1054,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,3207974
Perungudi,1,1,500,852,Individual,Resale,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,1974663
Saligramam,2,2,1000,852,Individual,Resale,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,5340967
Chengalpattu,4,4,3000,3020,Individual,Resale,15 to 20 years,House & Villas,2,Semi-Furnished,Ready to Move,North,28755605
Valasaravakkam,1,1,390,2922,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,West,1368843
East Coast Road,3,3,2100,1009,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,11605979
Sithalapakkam,2,2,1150,1700,Builder,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,South,5340967
East Coast Road,3,3,820,1050,Individual,Resale,New Construction,House & Villas,2,Unfurnished,Ready to Move,East,3492296
Mogappair,2,2,1600,578,Individual,Resale,Under Construction,House & Villas,0,Unfurnished,Under Construction,East,12136114
Valasaravakkam,4,4,2800,3200,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,South,28755605
Valasaravakkam,4,4,2800,1360,Individual,Resale,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,28755605
T Nagar,6,5,4000,650,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,East,74180500
Valasaravakkam,3,4,2200,630,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,North,12136114
Chengalpattu,3,3,2400,613,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,West,37638712
Chengalpattu,4,5,750,2416,Individual,New,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,East,4965353
